timestamp,server,memory_total_gb,memory_used_gb,memory_percent,swap_used_gb,status
2026-02-22 10:41:42,web-01,16,11.29,70.6,0,OK
2026-02-22 10:41:42,web-02,16,11.8,73.8,0,OK
2026-02-22 10:41:42,web-03,16,10.37,64.8,0,OK
2026-02-22 10:41:42,web-04,16,10.87,67.9,0,OK
2026-02-22 10:41:42,web-05,16,12.21,76.3,0,OK
2026-02-22 10:41:42,app-01,32,22.16,69.3,0,OK
2026-02-22 10:41:42,app-02,32,23.33,72.9,0,OK
2026-02-22 10:41:42,app-03,32,26.99,84.3,0.1,OK
2026-02-22 10:41:42,app-04,32,29.49,92.2,0.58,WARNING
2026-02-22 10:41:42,app-05,32,22.81,71.3,0,OK
2026-02-22 10:41:42,app-06,32,29.41,91.9,0.82,WARNING
2026-02-22 10:41:42,db-primary,64,55.53,86.8,1.55,WARNING
2026-02-22 10:41:42,db-replica,64,52.91,82.7,0.82,OK
2026-02-22 12:41:42,web-01,16,12.03,75.2,0,OK
2026-02-22 12:41:42,web-02,16,13.08,81.8,1.34,OK
2026-02-22 12:41:42,web-03,16,12.29,76.8,0,OK
2026-02-22 12:41:42,web-04,16,13.24,82.7,1.8,OK
2026-02-22 12:41:42,web-05,16,13.67,85.5,0.69,WARNING
2026-02-22 12:41:42,app-01,32,28.03,87.6,0.21,WARNING
2026-02-22 12:41:42,app-02,32,26.9,84.1,1.12,OK
2026-02-22 12:41:42,app-03,32,26.2,81.9,1.61,OK
2026-02-22 12:41:42,app-04,32,25.99,81.2,1.51,OK
2026-02-22 12:41:42,app-05,32,24.55,76.7,0,OK
2026-02-22 12:41:42,app-06,32,25.45,79.5,0,OK
2026-02-22 12:41:42,db-primary,64,55.58,86.8,0.64,WARNING
2026-02-22 12:41:42,db-replica,64,53.73,84.0,0.1,OK
2026-02-22 14:41:42,web-01,16,10.04,62.7,0,OK
2026-02-22 14:41:42,web-02,16,10.33,64.5,0,OK
2026-02-22 14:41:42,web-03,16,10.16,63.5,0,OK
2026-02-22 14:41:42,web-04,16,11.62,72.6,0,OK
2026-02-22 14:41:42,web-05,16,11.4,71.2,0,OK
2026-02-22 14:41:42,app-01,32,28.66,89.6,0.34,WARNING
2026-02-22 14:41:42,app-02,32,26.32,82.2,1.52,OK
2026-02-22 14:41:42,app-03,32,29.8,93.1,1.71,WARNING
2026-02-22 14:41:42,app-04,32,22.47,70.2,0,OK
2026-02-22 14:41:42,app-05,32,23.04,72.0,0,OK
2026-02-22 14:41:42,app-06,32,28.79,90.0,0.47,WARNING
2026-02-22 14:41:42,db-primary,64,55.62,86.9,1.29,WARNING
2026-02-22 14:41:42,db-replica,64,55.33,86.5,1.94,WARNING
2026-02-22 16:41:42,web-01,16,11.4,71.2,0,OK
2026-02-22 16:41:42,web-02,16,13.98,87.4,1.24,WARNING
2026-02-22 16:41:42,web-03,16,12.39,77.5,0,OK
2026-02-22 16:41:42,web-04,16,13.07,81.7,1.09,OK
2026-02-22 16:41:42,web-05,16,11.84,74.0,0,OK
2026-02-22 16:41:42,app-01,32,26.18,81.8,1.52,OK
2026-02-22 16:41:42,app-02,32,27.8,86.9,0.49,WARNING
2026-02-22 16:41:42,app-03,32,23.77,74.3,0,OK
2026-02-22 16:41:42,app-04,32,22.02,68.8,0,OK
2026-02-22 16:41:42,app-05,32,26.43,82.6,0.84,OK
2026-02-22 16:41:42,app-06,32,23.34,72.9,0,OK
2026-02-22 16:41:42,db-primary,64,50.54,79.0,0,OK
2026-02-22 16:41:42,db-replica,64,53.61,83.8,0.58,OK
2026-02-22 18:41:42,web-01,16,12.93,80.8,1.48,OK
2026-02-22 18:41:42,web-02,16,15.68,98.0,0.7,WARNING
2026-02-22 18:41:42,web-03,16,14.03,87.7,1.39,WARNING
2026-02-22 18:41:42,web-04,16,14.35,89.7,1.27,WARNING
2026-02-22 18:41:42,web-05,16,14.23,89.0,1.32,WARNING
2026-02-22 18:41:42,app-01,32,28.8,90.0,0.84,WARNING
2026-02-22 18:41:42,app-02,32,24.19,75.6,0,OK
2026-02-22 18:41:42,app-03,32,25.22,78.8,0,OK
2026-02-22 18:41:42,app-04,32,27.09,84.7,0.91,OK
